,19941231,19951231,19961231,19971231,19981231,19991231,20001231,20011231,20021231,20031231,20041231,20051231,20061231,20071231,20081231,20091231,20101231,20111231,20121231,20131231,20141231,20151231,20161231
ACST,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.7747,194.2234,100.6804,46.4505,24.672,15.0986
ACTA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,44808.4317,923.9803,348.1037,103.2192,150.6877,345.492,323.1611,396.0155,453.7628,200.3148,241.7674,527.2358,281.919,433.6999,697.5258,748.2751,466.8737,511.6027
ACTG,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.583,105.0011,191.2835,377.7402,270.3203,93.8904,290.7189,934.594,1567.3013,1261.4274,718.0587,848.1076,217.2938,329.0049
ACTX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACWI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACWX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACXM,310.5502,647.1998,1235.664,1006.005,2421.9679,2078.304,3474.04,1522.5804,1369.5428,1582.1714,2255.2575,1968.7095,2004.2446,903.9733,633.9983,1062.2587,1377.1837,953.5221,1287.7276,2788.3074,1563.5108,1623.1469,2081.4694
ADAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1720.3391
ADBE,2237.8275,4879.878,2823.3019,2888.13,2854.2656,7905.0697,16218.6776,7571.4894,6849.6312,9844.1731,18621.3014,20685.7342,23107.3431,25319.1448,12184.7308,18491.6047,14625.2786,13325.6494,17101.9085,28177.6996,36654.6211,45883.0555,49291.9514
ADES,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.4322,115.145,102.3306,91.2899,43.0255,20.9434,43.273,84.1327,226.3127,169.2772,432.1619,432.1619,155.7174,165.4519
ADHD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,245.4608,51.1112,173.0826,57.8779
ADI,1831.132,2643.792,3199.7106,4948.2523,3186.1612,9301.8019,21475.4407,14620.8125,10056.6484,16412.4736,15131.3588,12696.0421,10646.4601,9980.3525,6219.8921,7480.4171,10055.6463,11259.2179,12001.317,15452.7198,15441.9884,18761.0882,19578.0757
ADMA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,72.4762,103.7897,86.4546,65.9801
ADMP,#N/A N/A,19.3571,23.1885,84.7885,35.6055,40.5338,81.2983,148.3911,79.6103,62.34,74.9383,42.6592,1.6409,1.3426,1.0442,14.8953,17.5419,15.8328,73.4954,63.3376,66.7897,72.531,71.661
ADMS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,304.8674,524.0747,372.0306
ADP,8369.6535,10782.8083,12522.0724,18346.7066,48837.6331,33955.5277,40225.9238,36534.0192,23534.0643,23366.334,25860.3076,26484.3,26989,23217.942,19827.36,21534.178,22871.576,26416.291,27593.971,38896.6386,39775.827,38861.064,46137.942
ADRA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ADRD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ADRE,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ADRO,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1789.3616,834.2273
ADRU,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ADSK,811.8195,1472.71,1026.6757,1725.569,1462.6002,1155,1244.325,1820.456,1326.78,2178.1681,6053.0625,10413.696,8496.6,11291.01,4822.2181,5726.9079,8231.1283,7847.28,7157.1444,8961.54,13073.088,12423.269,16086.3731
ADTN,826.8855,2034.655,1608.955,1080.2275,701.79,1976.2287,822.6513,983.4132,1229.9007,2466.0434,1462.564,2366.4609,1577.0144,1387.84,924.9259,1403.963,2281.5921,1921.2825,1217.5374,1537.3552,1164.7958,920.0818,1083.3492
ADUS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96.5931,44.0791,38.4668,77.3628,244.9969,267.2127,258.5942,299.8982
ADVM,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1228.718,246.175,171.4631
ADXS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.033,29.7151,35.2745,17.7662,51.3123,62.4238,372.3463,323.9321
ADXSW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEGN,310.5154,315.0956,198.3064,208.9322,381.495,707.493,993.2464,680.4791,452.8139,436.557,607.9313,521.7772,704.4155,406.5652,550.8826,884.5792,1040.4119,603.6654,864.3573,831.4504,695.2792,696.1931,651.041
AEHR,#N/A N/A,#N/A N/A,#N/A N/A,62.342,30.7665,33.995,37.4063,28.68,21.188,27.8026,16.1865,26.6498,38.4747,48.246,18.5055,12.897,8.2082,6.248,8.4255,30.9432,33.8209,26.0647,49.7506
AEIS,#N/A N/A,189.621,114.3155,395.6322,668.125,1525.8143,709.5825,848.4307,408.8208,848.5267,299.0988,526.435,846.4139,592.367,416.3975,634.0235,591.0212,450.1879,524.6132,925.9214,959.9448,1122.3119,2174.232
AEMD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.667,7.471,27.3213,9.8739,17.8065,14.8378,5.8303,11.1827,35.5586,87.6702,51.756,32.0141
AERI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,418.2085,701.1023,644.2644,1259.6167
AETI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.2847,5.5349,4.676,3.2142,8.4433,16.241,13.4992,9.2449,30.645,14.1814,17.404,17.2891,39.7532,39.9119,79.9274,45.2648,17.3334,19.9016
AEY,#N/A N/A,#N/A N/A,25.7895,12.1832,1.6612,24.887,16.2045,10.1918,6.9944,38.0342,55.4559,62.0898,28.5494,63.2465,18.032,19.9453,31.8508,21.3845,20.2426,26.8959,24.5005,18.2292,17.9376
AEZS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AFAM,25.3451,18.3241,17.1545,21.833,8.58,7.02,8.8622,39.8909,15.8371,20.5679,34.1455,38.3867,111.9877,107.4852,366.0023,361.739,354.9624,155.537,190.8695,307.135,277.1673,397.5363,#N/A N/A
AFH,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,138.7321,192.1123,239.1162,217.0205
AFMD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.8941,217.9339,82.3487
AFSI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,512.6495,825.5489,696.3828,709.5901,1042.3875,1427.5175,2120.5066,2444.0678,4372.8188,5416.4228,4666.9429
AGEN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,302.1832,475.846,339.0771,448.1908,460.8243,217.0142,83.8941,97.0163,31.8502,57.4429,112.7411,42.9831,100.8667,95.9579,248.9987,392.2138,625.4895
AGFS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,64.9308,313.5136,264.0956
AGFSW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AGII,188.2298,231.7425,345.3862,456.7927,308.8703,147.0337,200.3542,209.4369,294,313.481,516.805,937.008,333.764,1291.8337,1043.6803,902.8399,1168.6945,762.0582,837.2193,1232.3822,1426.2299,1670.8914,1977.8946
